SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-NewBOP_capacity,ProbabilityWeight-Charger_capacity,prefix,ProbabilityWeight,ProbabilityWeight-TES_capacity,PointProbability
203.0,-203.0,-210.0,-203.0,600.0,-203.0,-1e+200,251032797.522,2243402.19741,250442890.556,256051953.461,247955485.493,248388387.971,255445860.453,20.0,5.03285341934e+12,0.034,0.00980392156863,62,2.77777777778e-05,0.0833333333333,2.17864923747e-08
203.0,-203.0,-210.0,-203.0,700.0,-203.0,-1e+200,248529231.496,1698131.51888,248459308.365,251920603.401,246400932.72,246411341.424,251826116.306,20.0,2.8836506554e+12,0.034,0.00980392156863,63,2.77777777778e-05,0.0833333333333,2.17864923747e-08
203.0,-203.0,-210.0,-203.0,800.0,-203.0,-1e+200,247853977.519,2192565.84325,247773910.248,253091564.722,244642325.051,245177961.633,250761718.387,20.0,4.807344977e+12,0.034,0.00980392156863,64,2.77777777778e-05,0.0833333333333,2.17864923747e-08
203.0,-203.0,-203.0,-203.0,100.0,-203.0,-1e+200,253221713.037,2112608.90981,252803445.417,257148231.418,249910668.852,250758717.508,256857763.886,20.0,4.46311640583e+12,0.02,0.00980392156863,71,8.16993464052e-06,0.0416666666667,2.17864923747e-08
203.0,-203.0,-210.0,-203.0,900.0,-203.0,-1e+200,245184934.579,1534172.07206,244945375.857,247912652.69,242624654.902,242634323.869,247721798.972,19.0,2.35368394668e+12,0.034,0.00980392156863,65,2.77777777778e-05,0.0833333333333,2.17864923747e-08
203.0,-203.0,-203.0,-203.0,200.0,-203.0,-1e+200,249935129.274,1685499.89241,249641559.097,252610584.378,247163029.229,247555375.587,252553752.643,20.0,2.84090988732e+12,0.02,0.00980392156863,72,1.6339869281e-05,0.0833333333333,2.17864923747e-08
203.0,-203.0,-203.0,-203.0,300.0,-203.0,-1e+200,248757689.522,2580939.54252,249684789.223,252746985.17,243931936.071,244676268.022,252374960.672,20.0,6.66124892215e+12,0.02,0.00980392156863,73,1.6339869281e-05,0.0833333333333,2.17864923747e-08
203.0,-203.0,-210.0,-203.0,1000.0,-203.0,-1e+200,243178618.2,1504116.10268,243304201.119,246060295.668,240994926.154,241219302.405,245083447.937,20.0,2.26236525035e+12,0.034,0.00980392156863,66,2.77777777778e-05,0.0833333333333,2.17864923747e-08
203.0,-203.0,-203.0,-203.0,400.0,-203.0,-1e+200,246103585.901,1738646.03656,246034072.676,250058452.337,244085102.001,244097086.521,249160292.08,18.0,3.02289004043e+12,0.02,0.00980392156863,74,1.6339869281e-05,0.0833333333333,2.17864923747e-08
203.0,-203.0,-210.0,-203.0,1100.0,-203.0,-1e+200,241580798.558,1636919.0172,241474786.84,244814151.442,238660046.829,239640282.854,244809861.273,20.0,2.67950386889e+12,0.034,0.00980392156863,67,2.77777777778e-05,0.0833333333333,2.17864923747e-08
