hours,price
1357.0,26.97
1358.0,32.6
1359.0,37.51
1360.0,42.51
1361.0,42.48
1362.0,32.99
1363.0,36.82
1364.0,25.44
1365.0,22.61
1366.0,21.17
1367.0,18.76
1368.0,15.13
1369.0,13.93
1370.0,9.73
1371.0,7.1
1372.0,6.29
1373.0,10.47
1374.0,14.29
1375.0,20.04
1376.0,19.96
1377.0,19.42
1378.0,23.27
1379.0,23.33
1380.0,27.98
1381.0,30.62
1382.0,36.92
1383.0,45.1
1384.0,47.69
1385.0,47.44
1386.0,38.56
1387.0,36.75
1388.0,28.63
1389.0,27.02
1390.0,24.98
1391.0,18.14
1392.0,16.3
1393.0,14.39
1394.0,13.88
1395.0,12.19
1396.0,13.11
1397.0,14.8
1398.0,17.45
1399.0,26.07
1400.0,25.01
1401.0,26.21
1402.0,27.03
1403.0,29.13
1404.0,31.85
1405.0,34.29
1406.0,41.61
1407.0,44.88
1408.0,40.91
1409.0,34.45
1410.0,28.46
1411.0,35.97
1412.0,26.35
1413.0,24.59
1414.0,21.22
1415.0,18.95
1416.0,17.81
1417.0,16.2
1418.0,15.17
1419.0,14.9
1420.0,15.49
1421.0,16.62
1422.0,18.49
1423.0,33.72
1424.0,24.64
1425.0,22.99
1426.0,23.78
1427.0,23.62
1428.0,22.62
1429.0,20.4
1430.0,21.23
1431.0,21.37
1432.0,22.3
1433.0,21.69
1434.0,22.05
1435.0,29.65
1436.0,23.75
1437.0,21.88
1438.0,19.89
1439.0,19.17
1440.0,17.93
1441.0,16.53
1442.0,16.24
1443.0,15.9
1444.0,16.0
1445.0,16.68
1446.0,19.49
1447.0,35.21
1448.0,32.91
1449.0,25.49
1450.0,23.7
1451.0,21.34
1452.0,21.44
1453.0,21.43
1454.0,20.45
1455.0,21.57
1456.0,21.74
1457.0,21.59
1458.0,20.97
1459.0,25.43
1460.0,21.5
1461.0,20.34
1462.0,19.39
1463.0,16.87
1464.0,16.08
1465.0,13.8
1466.0,12.97
1467.0,12.99
1468.0,13.18
1469.0,14.33
1470.0,15.54
1471.0,17.17
1472.0,17.56
1473.0,19.85
1474.0,22.51
1475.0,23.68
1476.0,24.01
1477.0,23.49
1478.0,22.49
1479.0,22.24
1480.0,21.47
1481.0,20.76
1482.0,22.35
1483.0,27.91
1484.0,25.0
1485.0,22.02
1486.0,19.32
1487.0,17.9
1488.0,16.18
1489.0,13.66
1490.0,12.82
1491.0,12.9
1492.0,13.04
1493.0,13.56
1494.0,13.96
1495.0,15.9
1496.0,17.16
1497.0,18.99
1498.0,21.61
1499.0,24.67
1500.0,25.03
1501.0,24.55
1502.0,24.66
1503.0,24.75
1504.0,24.37
1505.0,24.25
1506.0,24.24
1507.0,29.39
1508.0,26.48
1509.0,26.57
1510.0,23.05
1511.0,18.67
1512.0,16.17
1513.0,12.34
1514.0,11.77
1515.0,7.98
1516.0,9.57
1517.0,12.15
1518.0,14.91
1519.0,21.05
1520.0,19.8
1521.0,21.13
1522.0,23.64
1523.0,24.56
1524.0,28.82
1525.0,30.44
1526.0,33.32
1527.0,39.29
1528.0,38.91
1529.0,40.03
1530.0,35.2
1531.0,51.58
1532.0,32.04
1533.0,28.25
1534.0,24.9
1535.0,19.1
1536.0,18.78
1537.0,17.73
1538.0,16.4
1539.0,14.67
1540.0,14.96
1541.0,16.32
1542.0,17.34
1543.0,23.66
1544.0,22.33
1545.0,23.99
1546.0,25.79
1547.0,26.93
1548.0,29.79
1549.0,30.85
1550.0,35.19
1551.0,41.39
1552.0,42.75
1553.0,38.7
1554.0,32.66
1555.0,44.14
1556.0,27.29
1557.0,26.29
1558.0,23.66
1559.0,21.8
1560.0,18.74
1561.0,15.94
1562.0,14.62
1563.0,14.18
1564.0,14.43
1565.0,14.85
