hours,price
1204.0,33.67
1205.0,33.27
1206.0,35.21
1207.0,37.56
1208.0,40.91
1209.0,40.37
1210.0,40.3
1211.0,38.26
1212.0,35.73
1213.0,33.87
1214.0,32.5
1215.0,32.07
1216.0,32.04
1217.0,33.07
1218.0,41.2
1219.0,51.75
1220.0,44.44
1221.0,41.29
1222.0,37.38
1223.0,33.95
1224.0,30.69
1225.0,29.6
1226.0,28.77
1227.0,28.67
1228.0,28.61
1229.0,29.13
1230.0,31.18
1231.0,37.95
1232.0,42.83
1233.0,42.75
1234.0,44.26
1235.0,44.26
1236.0,41.27
1237.0,38.86
1238.0,37.68
1239.0,35.87
1240.0,34.94
1241.0,36.23
1242.0,47.2
1243.0,56.58
1244.0,48.6
1245.0,45.47
1246.0,39.22
1247.0,33.6
1248.0,31.58
1249.0,31.96
1250.0,31.67
1251.0,31.4
1252.0,31.44
1253.0,31.82
1254.0,33.8
1255.0,47.33
1256.0,57.84
1257.0,51.02
1258.0,50.74
1259.0,49.61
1260.0,47.06
1261.0,43.61
1262.0,41.27
1263.0,39.42
1264.0,39.17
1265.0,40.59
1266.0,56.11
1267.0,76.03
1268.0,66.48
1269.0,56.76
1270.0,48.23
1271.0,39.24
1272.0,35.58
1273.0,42.58
1274.0,40.6
1275.0,40.75
1276.0,41.29
1277.0,41.88
1278.0,50.78
1279.0,88.02
1280.0,103.61
1281.0,73.54
1282.0,64.86
1283.0,58.34
1284.0,51.39
1285.0,44.2
1286.0,42.71
1287.0,41.36
1288.0,40.89
1289.0,38.44
1290.0,49.76
1291.0,75.26
1292.0,67.25
1293.0,55.44
1294.0,52.45
1295.0,41.05
1296.0,36.24
1297.0,34.27
1298.0,32.89
1299.0,32.18
1300.0,32.51
1301.0,32.6
1302.0,36.42
1303.0,55.65
1304.0,56.94
1305.0,47.73
1306.0,45.33
1307.0,44.4
1308.0,40.3
1309.0,38.63
1310.0,37.38
1311.0,36.5
1312.0,35.69
1313.0,36.53
1314.0,47.56
1315.0,53.09
1316.0,43.29
1317.0,41.99
1318.0,36.82
1319.0,32.35
1320.0,30.03
1321.0,30.01
1322.0,29.18
1323.0,28.4
1324.0,28.5
1325.0,28.86
1326.0,30.42
1327.0,37.54
1328.0,38.27
1329.0,38.97
1330.0,40.96
1331.0,42.13
1332.0,39.84
1333.0,38.06
1334.0,37.58
1335.0,35.92
1336.0,34.7
1337.0,35.23
1338.0,40.5
1339.0,49.91
1340.0,45.31
1341.0,41.64
1342.0,39.07
1343.0,35.84
1344.0,33.37
1345.0,35.61
1346.0,35.32
1347.0,34.21
1348.0,33.9
1349.0,33.25
1350.0,34.72
1351.0,38.45
1352.0,44.31
1353.0,48.62
1354.0,47.91
1355.0,46.77
1356.0,41.01
1357.0,36.88
1358.0,34.15
1359.0,33.82
1360.0,33.45
1361.0,34.26
1362.0,39.62
1363.0,52.27
1364.0,46.02
1365.0,41.29
1366.0,37.81
1367.0,34.78
1368.0,32.53
1369.0,33.3
1370.0,32.48
1371.0,32.01
1372.0,32.1
1373.0,31.72
1374.0,32.07
1375.0,32.11
1376.0,33.68
1377.0,36.85
1378.0,38.58
1379.0,37.37
1380.0,33.78
1381.0,32.82
1382.0,31.98
1383.0,31.14
1384.0,31.12
1385.0,31.67
1386.0,34.53
1387.0,44.93
1388.0,40.72
1389.0,36.96
1390.0,33.86
1391.0,31.1
1392.0,29.29
1393.0,28.34
1394.0,27.44
1395.0,27.39
1396.0,27.37
1397.0,27.68
1398.0,28.7
1399.0,35.77
1400.0,39.22
1401.0,39.71
1402.0,40.34
1403.0,42.46
1404.0,40.2
1405.0,38.33
1406.0,36.76
1407.0,35.28
1408.0,34.44
1409.0,35.65
1410.0,40.86
1411.0,54.75
1412.0,48.08
1413.0,41.63
1414.0,37.95
1415.0,33.08
1416.0,30.28
1417.0,30.14
1418.0,29.9
1419.0,29.63
1420.0,29.66
1421.0,30.25
1422.0,33.57
1423.0,46.79
1424.0,53.56
1425.0,44.61
1426.0,43.67
1427.0,42.34
1428.0,38.75
1429.0,37.28
1430.0,35.77
1431.0,34.17
1432.0,33.76
1433.0,34.94
1434.0,39.04
1435.0,50.16
1436.0,45.58
1437.0,43.24
1438.0,40.71
1439.0,36.03
1440.0,33.91
1441.0,34.13
1442.0,33.26
1443.0,33.54
1444.0,33.54
1445.0,34.24
1446.0,38.52
1447.0,62.87
1448.0,64.31
1449.0,49.22
1450.0,44.96
1451.0,42.83
1452.0,39.8
1453.0,38.76
1454.0,36.77
1455.0,35.39
1456.0,35.08
1457.0,35.41
1458.0,38.37
1459.0,52.28
1460.0,49.82
1461.0,44.06
1462.0,41.18
1463.0,36.22
1464.0,33.44
1465.0,35.93
1466.0,34.8
1467.0,34.87
1468.0,35.74
1469.0,36.28
1470.0,41.37
1471.0,70.94
1472.0,76.28
1473.0,58.2
1474.0,56.41
1475.0,54.86
1476.0,47.0
1477.0,42.69
1478.0,41.67
1479.0,39.12
1480.0,38.24
1481.0,39.18
1482.0,51.26
1483.0,69.18
1484.0,61.83
1485.0,54.47
1486.0,51.3
1487.0,39.81
1488.0,36.7
1489.0,35.18
1490.0,33.79
1491.0,33.51
1492.0,33.45
1493.0,33.84
1494.0,37.55
1495.0,61.32
1496.0,62.76
1497.0,45.79
1498.0,44.69
1499.0,42.29
1500.0,38.74
1501.0,37.08
1502.0,36.31
1503.0,34.65
1504.0,34.0
1505.0,34.95
1506.0,39.2
1507.0,46.15
1508.0,42.15
1509.0,39.49
1510.0,35.86
1511.0,34.2
1512.0,32.97
1513.0,33.25
1514.0,31.96
1515.0,31.94
1516.0,31.8
1517.0,31.28
1518.0,32.68
1519.0,34.04
1520.0,36.47
1521.0,41.98
1522.0,45.58
1523.0,45.04
1524.0,43.01
1525.0,39.6
1526.0,36.06
1527.0,34.63
1528.0,34.27
1529.0,34.87
1530.0,36.62
1531.0,48.26
1532.0,45.45
1533.0,41.35
1534.0,37.27
1535.0,34.1
1536.0,31.78
1537.0,28.73
1538.0,27.69
1539.0,27.22
1540.0,27.15
1541.0,26.79
1542.0,27.45
1543.0,29.08
1544.0,29.48
1545.0,33.26
1546.0,35.11
1547.0,36.27
1548.0,36.35
1549.0,35.85
1550.0,34.74
1551.0,33.2
1552.0,33.22
1553.0,34.29
1554.0,37.15
1555.0,51.88
1556.0,48.38
1557.0,45.03
1558.0,40.48
1559.0,35.51
1560.0,33.71
1561.0,33.9
1562.0,33.59
1563.0,33.56
1564.0,33.83
1565.0,34.41
1566.0,37.22
1567.0,55.1
1568.0,62.56
1569.0,55.2
1570.0,57.49
1571.0,55.31
1572.0,50.33
1573.0,47.61
1574.0,44.59
1575.0,40.7
1576.0,38.8
1577.0,39.97
1578.0,46.14
1579.0,65.95
1580.0,67.91
1581.0,53.63
1582.0,48.93
1583.0,39.46
1584.0,35.01
1585.0,35.27
1586.0,33.88
1587.0,33.74
1588.0,33.66
1589.0,34.35
1590.0,37.11
1591.0,65.12
1592.0,68.39
1593.0,54.92
1594.0,53.05
1595.0,49.63
1596.0,46.16
1597.0,44.19
1598.0,42.48
1599.0,40.92
1600.0,39.4
1601.0,39.71
1602.0,44.94
1603.0,59.67
1604.0,54.91
1605.0,49.5
1606.0,43.1
1607.0,35.79
1608.0,33.02
1609.0,31.08
1610.0,30.23
1611.0,29.91
1612.0,29.97
1613.0,31.07
1614.0,33.63
1615.0,43.11
1616.0,48.13
1617.0,44.47
1618.0,43.57
1619.0,43.18
1620.0,42.5
1621.0,41.55
1622.0,40.02
1623.0,37.42
1624.0,36.81
1625.0,38.01
1626.0,41.64
1627.0,57.35
1628.0,52.22
1629.0,44.28
1630.0,37.9
1631.0,34.06
1632.0,30.82
1633.0,30.01
1634.0,28.58
1635.0,27.63
1636.0,27.68
1637.0,28.64
1638.0,30.14
1639.0,37.27
1640.0,43.43
1641.0,43.97
1642.0,42.52
1643.0,44.21
1644.0,42.1
1645.0,40.45
1646.0,39.18
1647.0,36.66
1648.0,35.8
1649.0,37.35
1650.0,39.2
1651.0,51.93
1652.0,48.09
1653.0,41.76
1654.0,35.97
1655.0,33.54
1656.0,29.1
1657.0,31.1
1658.0,30.54
1659.0,29.79
