iteration,accepted,SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV
128.0,rerun,203.0,-203.0,-408.322971269,-203.144548096,1041.62333977,-203.0,-1e+200,305983515.537,512434.013665,306060243.015
129.0,accepted,203.0,-203.0,-408.322971213,-203.144548107,1041.62333985,-203.0,-1e+200,306133059.537,406258.851998,306119611.344
130.0,rejected,203.0,-203.0,-408.322971238,-203.144548124,1041.62333952,-203.0,-1e+200,305985245.438,317652.391059,305917958.259
131.0,rerun,203.0,-203.0,-408.322971213,-203.144548107,1041.62333985,-203.0,-1e+200,306003892.826,498319.025962,306094753.55
132.0,rejected,203.0,-203.0,-408.322971211,-203.144548101,1041.62333946,-203.0,-1e+200,305960695.981,341433.984917,305889930.523
133.0,rerun,203.0,-203.0,-408.322971213,-203.144548107,1041.62333985,-203.0,-1e+200,306081728.081,346214.163447,306137922.15
134.0,rejected,203.0,-203.0,-408.322971183,-203.144548099,1041.6233398,-203.0,-1e+200,305942159.628,373646.333113,305922482.024
135.0,rerun,203.0,-203.0,-408.322971213,-203.144548107,1041.62333985,-203.0,-1e+200,305898446.942,411576.187352,305769112.764
136.0,accepted,203.0,-203.0,-408.322971218,-203.144548113,1041.62333992,-203.0,-1e+200,306034250.152,469894.886713,306062670.626
137.0,rejected,203.0,-203.0,-408.3229712,-203.144548113,1041.62333981,-203.0,-1e+200,306002236.798,391657.62803,306019353.247
138.0,rerun,203.0,-203.0,-408.322971218,-203.144548113,1041.62333992,-203.0,-1e+200,306076969.097,408335.327317,305941989.169
139.0,rejected,203.0,-203.0,-408.322971201,-203.144548113,1041.62333994,-203.0,-1e+200,305983312.664,365115.807632,305965571.257
140.0,rerun,203.0,-203.0,-408.322971218,-203.144548113,1041.62333992,-203.0,-1e+200,305973690.52,504505.748171,306067397.241
141.0,accepted,203.0,-203.0,-408.322971221,-203.144548113,1041.62333997,-203.0,-1e+200,306095427.866,505796.87111,306109936.383
