iteration,accepted,SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV
153.0,rejected,203.0,-203.0,-405.855582027,-200.976811954,768.921025327,-203.0,-1e+200,282774164.808,381352.082109,282724695.711
154.0,rerun,203.0,-203.0,-405.855582027,-200.976811954,768.921025328,-203.0,-1e+200,282715048.503,421380.531236,282765289.617
155.0,rejected,203.0,-203.0,-405.855582027,-200.976811954,768.921025327,-203.0,-1e+200,282645082.764,341860.729326,282553949.754
156.0,rerun,203.0,-203.0,-405.855582027,-200.976811954,768.921025328,-203.0,-1e+200,282803229.758,368636.189055,282741713.696
157.0,rejected,203.0,-203.0,-405.855582027,-200.976811954,768.921025328,-203.0,-1e+200,282580224.961,438722.343522,282623289.004
158.0,rerun,203.0,-203.0,-405.855582027,-200.976811954,768.921025328,-203.0,-1e+200,282869958.577,351036.771553,282906309.925
159.0,rejected,203.0,-203.0,-405.855582027,-200.976811954,768.921025328,-203.0,-1e+200,282797226.721,282946.835448,282761532.985
160.0,rerun,203.0,-203.0,-405.855582027,-200.976811954,768.921025328,-203.0,-1e+200,282624132.334,414135.010074,282547600.823
161.0,rejected,203.0,-203.0,-405.855582027,-200.976811954,768.921025328,-203.0,-1e+200,282687132.337,384669.225719,282643631.346
162.0,rerun,203.0,-203.0,-405.855582027,-200.976811954,768.921025328,-203.0,-1e+200,282668109.944,451333.655584,282591132.234
163.0,rejected,203.0,-203.0,-405.855582027,-200.976811954,768.921025328,-203.0,-1e+200,282591727.68,360460.19054,282638126.151
164.0,rerun,203.0,-203.0,-405.855582027,-200.976811954,768.921025328,-203.0,-1e+200,282722550.562,356179.584614,282754468.875
165.0,accepted,203.0,-203.0,-405.855582027,-200.976811954,768.921025328,-203.0,-1e+200,282859231.476,486374.572943,282771918.943
166.0,rejected,203.0,-203.0,-405.855582027,-200.976811954,768.921025328,-203.0,-1e+200,282664626.448,362711.906248,282610325.94
167.0,rerun,203.0,-203.0,-405.855582027,-200.976811954,768.921025328,-203.0,-1e+200,282589814.504,467148.245351,282629377.111
168.0,rejected,203.0,-203.0,-405.855582027,-200.976811954,768.921025328,-203.0,-1e+200,282655606.437,377812.146812,282680987.306
169.0,rerun,203.0,-203.0,-405.855582027,-200.976811954,768.921025328,-203.0,-1e+200,282749699.824,430555.297507,282745447.005
170.0,rejected,203.0,-203.0,-405.855582027,-200.976811954,768.921025328,-203.0,-1e+200,282638023.768,534759.449218,282503704.469
171.0,rerun,203.0,-203.0,-405.855582027,-200.976811954,768.921025328,-203.0,-1e+200,282691908.587,439391.761346,282547252.495
172.0,rejected,203.0,-203.0,-405.855582027,-200.976811954,768.921025328,-203.0,-1e+200,282684628.164,453195.065899,282699157.757
173.0,rerun,203.0,-203.0,-405.855582027,-200.976811954,768.921025328,-203.0,-1e+200,282807087.55,272469.754515,282823891.327
174.0,rejected,203.0,-203.0,-405.855582027,-200.976811954,768.921025328,-203.0,-1e+200,282676637.36,329953.232685,282594360.206
175.0,rerun,203.0,-203.0,-405.855582027,-200.976811954,768.921025328,-203.0,-1e+200,282765026.299,248564.582186,282787958.599
176.0,rejected,203.0,-203.0,-405.855582027,-200.976811954,768.921025328,-203.0,-1e+200,282727888.556,363974.750433,282695305.57
177.0,rerun,203.0,-203.0,-405.855582027,-200.976811954,768.921025328,-203.0,-1e+200,282584573.419,333955.011825,282642403.331
178.0,rejected,203.0,-203.0,-405.855582027,-200.976811954,768.921025328,-203.0,-1e+200,282663369.893,428653.993472,282673641.841
179.0,rerun,203.0,-203.0,-405.855582027,-200.976811954,768.921025328,-203.0,-1e+200,282565921.416,370481.160101,282597002.028
180.0,accepted,203.0,-203.0,-405.855582027,-200.976811954,768.921025328,-203.0,-1e+200,282799747.389,346586.616714,282797308.269
181.0,rejected,203.0,-203.0,-405.855582027,-200.976811954,768.921025328,-203.0,-1e+200,282720293.738,389041.647913,282743077.044
182.0,rerun,203.0,-203.0,-405.855582027,-200.976811954,768.921025328,-203.0,-1e+200,282652009.742,287259.90498,282657016.77
183.0,rejected,203.0,-203.0,-405.855582027,-200.976811954,768.921025328,-203.0,-1e+200,282658845.331,313082.211952,282627458.151
184.0,rerun,203.0,-203.0,-405.855582027,-200.976811954,768.921025328,-203.0,-1e+200,282782661.684,467002.480862,282845629.044
185.0,accepted,203.0,-203.0,-405.855582027,-200.976811954,768.921025328,-203.0,-1e+200,282845123.528,390764.243013,282874711.133
185.0,final,203.0,-203.0,-405.855582027,-200.976811954,768.921025328,-203.0,-1e+200,282845123.528,390764.243013,282874711.133
